smi,adduct,ccs
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,[M+H]+,231.0
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,[M+H]+,231.0
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,[M+H]+,219.8
CC(O)=NC(Cc1ccccc1)C(=O)O,[M-H]-,146.3
CCC=CCC=CCC=CCC=CCC=CCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)OC(=O)CC=CCC=CCC=CCC=CCCCCC,[M+NH4]+,301.3
N=c1nc(O)c2nc[nH]c2[nH]1,[M+Na]+,137.5
CC(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O,[M+H]+,152.8388889
CCC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,[M-H]-,180.0
N=c1ccn(C2CC(O)C(CO)O2)c(O)n1,[M+Na]+,155.9
CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,[M-H]-,174.4
CCCCCCCCCCCCC/C=C/C=C/C(=O)OC[C@H](CO)OC(=O)/C=C/C=C/CCCCCCCCCCCCC,[M+NH4]+,257.6
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,[M+H]+,200.5
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@@](OC(=O)C=Cc2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@@H]1O,[M+Na]+,252.0
CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,[M+Na]+,176.2
CC=C(C)C(O)=NCC(=O)O,[M+Na]+,146.7
COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc(OC)c1O,[M-H]-,183.0
N=c1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(O)n1,[M+Na]+,174.9
CC(O)=NC1C(OC2C(O)C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C2O)OC(CO)C(O)C1OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O,[M-H]-,275.9
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,[M+Na-2H]-,159.7
CCCCCC=CCC=CC=CC=CC(SCC(N)C(=O)NCC(=O)O)C(O)CCCC(=O)O,[M-H]-,221.0
CCCCCC=CCC=CC=CC=CC(SCC(N)C(O)=NCC(=O)O)C(O)CCCC(=O)O,[M+H]+,234.1
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,[M+H]+,181.6
O=c1nc(O)ccn1C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,[M+Na]+,188.1
CC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCCCC,[M+HCOO]-,236.2
O=C(O)c1cc(O)c2cccc(O)c2n1,[M-H]-,134.1
N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(O)n1,[M+H]+,172.1
N=c1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(N)[nH]1,[M+H]+,204.4
OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,[M-H]-,221.1
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,[M+H]+,184.1
CC12CCC(O)CC1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO,[M-H]-,202.7
CN(C)C(O)=Nc1cccc(C(F)(F)F)c1,[M+H]+,151.1
COC(=O)CC(N=C(O)C(N=C(O)OC(C)C)C(C)C)c1ccc(Cl)cc1,[M-H]-,208.4
NC(CC(=O)O)C(O)=NC(Cc1ccccc1)C(=O)O,[M-H]-,159.4
O=C1C(O)=C(O)OC1C(O)CO,[M+H]+,138.7
CCCCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,[M+Na]+,225.1
CC(O)=NC1C(OCC2OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3N=C(C)O)C2O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,[M-H]-,317.6
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,[M+H]+,217.69999999999996
O=C(O)CN=C(O)c1ccccc1,[M+H]+,146.8
CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)c1ccccc1,[M+Na]+,210.30000000000004
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)CC1O,[M+Na-2H]-,161.6
